"ID","Requirements","project category","Requirement Category","Magnitude of Risk","Impact","Priority"
1,"The system shall display all the products that can be configured.","Transaction Processing System","Functional","Negligible","high",95.715385
2,"The system shall allow user to select the product to configure.","Transaction Processing System","Functional","Very Low","catastrophic",35.9
3,"The system shall display all the available components of the product to configure","Transaction Processing System","Functional","Low","high",35.692308
4,"The system shall enable user to add one or more component to the configuration.","Transaction Processing System","Functional","Medium","moderate",44.1
5,"The system shall notify the user about any conflict in the current configuration.","Transaction Processing System","Functional","High","Low",85.776923
6,"The system shall allow user to update the configuration to resolve conflict in the current configuration.","Transaction Processing System","Functional","Very High","insignificant",56.453846
7,"The system shall allow user to confirm the completion of current configuration","Transaction Processing System","Functional","Extreme","moderate",41.530769
8,"The system shall display detailed information of the selected products.","Transaction Processing System","Functional","High","high",61.261538
9,"The system shall provide browsing options to see product details.","Transaction Processing System","Functional","Medium","moderate",28.284615
10,"The system shall display detailed product categorization to the user.","Transaction Processing System","Functional","Negligible","Low",18.223077
11,"The system shall enable user to enter the search text on the screen.","Transaction Processing System","Functional","Very Low","moderate",17.692308
12,"The system shall enable user to select multiple options on the screen to search.","Transaction Processing System","Functional","High","insignificant",15.707692
13,"The system shall display all the matching products based on the search","Transaction Processing System","Functional","Very Low","moderate",31.538462
14,"The system shall display only 10 matching result on the current screen.","Transaction Processing System","Functional","Negligible","Low",25.438462
15,"The system shall enable user to navigate between the search results.","Transaction Processing System","Functional","Very Low","insignificant",17.707692
16,"The system shall notify the user when no matching product is found on the search.","Transaction Processing System","Functional","Very High","high",68.553846
17,"The system shall allow user to create profile and set his credential","Transaction Processing System","Functional","Medium","Low",42.376923
18,"The system shall authenticate user credentials to view the profile","Transaction Processing System","Functional","Low","Low",25.630769
19,"The system shall allow user to update the profile information","Transaction Processing System","Functional","Medium","moderate",34.4
20,"The system shall enable user to select multiple options on the screen to search.","Transaction Processing System","Functional","Medium","high",41.184615
21,"The system shall display all the matching products based on the search","Transaction Processing System","Functional","Medium","Low",26.476923
22,"The system shall display only 10 matching result on the current screen.","Transaction Processing System","Functional","Very High","high",35.115385
23,"The system shall enable user to navigate between the search results.","Transaction Processing System","Functional","Medium","catastrophic",65.907692
24,"The system shall notify the user when no matching product is found on the search.","Transaction Processing System","Functional","Very High","high",22.107692
25,"The system shall allow user to create profile and set his credential.","Transaction Processing System","Functional","Low","Low",25.469231
26,"The system shall authenticate user credentials to view the profile.","Transaction Processing System","Functional","Medium","high",23.746154
27,"The system shall allow user to update the profile information.","Transaction Processing System","Functional","Very High","moderate",36.607692
28,"The system shall display both the active and completed order history in the customer profile.","Transaction Processing System","Functional","High","Low",29.707692
29,"The system shall allow user to select the order from the order history.","Transaction Processing System","Functional","Very Low","Low",78.376923
30,"The system shall display the detailed information about the selected order.","Transaction Processing System","Functional","Medium","Low",39.592308
31,"The system shall display the most frequently searched items by the user in the profile.","Transaction Processing System","Functional","Medium","moderate",49.746154
32,"The system shall allow user to register for newsletters and surveys in the profile.","Transaction Processing System","Functional","Low","Low",65.376923
33,"The system shall provide online help , FAQ’s customer support  and sitemap options for customer support.","Transaction Processing System","Functional","Medium","Low",89.230769
34,"The system shall allow user to select the support type he wants.","Transaction Processing System","Functional","Medium","moderate",89.784615
35,"The system shall allow user to enter the customer and product information for the support.","Transaction Processing System","Functional","Low","high",69.784615
36,"The system shall display the customer support contact numbers on the screen.","Transaction Processing System","Functional","Medium","Low",41.130769
37,"The system shall allow user to enter the contact number for support personnel to call.","Transaction Processing System","Functional","Medium","moderate",64.915385
38,"The system shall display the online help upon request.","Transaction Processing System","Functional","Low","moderate",82.384615
39,"The system shall display the FAQs upon request.","Transaction Processing System","Functional","High","moderate",39.130769
40,"The system shall maintain customer email information as a required part of customer profile.","Transaction Processing System","Functional","Medium","moderate",73.523077
41,"The system shall send an order confirmation to the user through email.","Transaction Processing System","Functional","High","moderate",92.207692
42,"The system shall display detailed invoice for current order once it is confirmed.","Transaction Processing System","Functional","Medium","moderate",82.753846
43,"The system shall optionally allow user to print the invoice.","Transaction Processing System","Functional","Low","Low",66.876923
44,"The system shall provide shopping cart during online purchase.","Transaction Processing System","Functional","Medium","Low",81.130769
45,"The system shall allow user to add/remove products in the shopping cart.","Transaction Processing System","Functional","Medium","Low",90.361538
46,"The system shall display different shipping options provided by shipping department.","Transaction Processing System","Functional","Medium","moderate",73.630769
47,"The system shall enable user to select the shipping method during payment process.","Transaction Processing System","Functional","Medium","high",51.438462
48,"The system shall display the shipping charges.","Transaction Processing System","Functional","Medium","moderate",72.861538
49,"The system shall display tentative duration for shipping.","Transaction Processing System","Functional","Very High","high",90.776923
50,"The system shall allow user to enter the order information for tracking.","Transaction Processing System","Functional","Medium","Low",65.023077
51,"The system shall display the current tracking information about the order.","Transaction Processing System","Functional","Very Low","moderate",53.138462
52,"The system shall calculate tax for the order","Transaction Processing System","Functional","Very High","high",42.407692
53,"The system shall display tax information for the order","Transaction Processing System","Functional","Medium","moderate",53.638462
54,"The system shall display available payment methods for payment.","Transaction Processing System","Functional","High","high",65.307692
55,"The system shall allow user to select the payment method for order","Transaction Processing System","Functional","Medium","moderate",72.776923
56,"The system shall display the orders that are eligible to change.","Transaction Processing System","Functional","Low","Low",35.630769
57,"The system shall allow user to select the order to be changed.","Transaction Processing System","Functional","Medium","moderate",62.092308
58,"The system shall allow user to cancel the order","Transaction Processing System","Functional","Low","Low",28.453846
59,"The system shall allow user to change shipping and payment method.","Transaction Processing System","Functional","Medium","high",73.746154
60,"The system shall notify the user about any changes made to the order.","Transaction Processing System","Functional","High","high",44.638462
61,"The system shall display the reviews ratings of each product  when it is selected.","Transaction Processing System","Functional","Medium","moderate",41.323077
62,"The system shall enable the user to enter their reviews and ratings.","Transaction Processing System","Functional","Low","Low",29.438462
63,"The system shall display all the available financing options.","Transaction Processing System","Functional","Very High","high",66.976923
64,"The system shall allow user to select the financing option.","Transaction Processing System","Functional","High","moderate",45.8
65,"The system shall notify the use about the financing request.","Transaction Processing System","Functional","Low","moderate",46.646154
66,"The system shall allow user to view detailed sitemap.","Transaction Processing System","Functional","High","Low",60.369231
67,"The system shall display all the available promotions to the user.","Transaction Processing System","Functional","High","moderate",52.384615
68,"The system shall allow user to select available promotion.","Transaction Processing System","Functional","Medium","high",53.576923
69,"The system shall allow user to confirm the purchase.","Transaction Processing System","Functional","High","moderate",61.276923
70,"The system shall enable user to enter the payment information.","Transaction Processing System","Functional","Low","moderate",42.761538
71,"The system shall provide a uniform look and feel between all the web pages.","Transaction Processing System","Usability","Medium","high",57.353846
72,"The system shall provide a digital image for each product in the product catalog.","Transaction Processing System","Usability","Medium","moderate",55.846154
73,"The system shall provide use of icons and toolbars.","Transaction Processing System","Usability","Low","moderate",34.692308
74,"The system shall provide handicap access.","Transaction Processing System","Usability","Low","moderate",42.615385
75,"The system shall provide multi language support.","Transaction Processing System","Usability","Low","moderate",25.723077
76,"The system shall provide storage of all databases on redundant computers with automatic switchover.","Transaction Processing System","Reliability & Availability","Very High","moderate",67.461538
77,"The system shall provide for replication of databases to off-site storage locations.","Transaction Processing System","Reliability & Availability","Low","Low",43.884615
78,"The system shall provide RAID V Disk Stripping on all database storage disks.","Transaction Processing System","Reliability & Availability","Medium","high",36.5
79,"The system shall provide a contractual agreement with an internet service provider for T3 access with 99.9999\% availability.","Transaction Processing System","Reliability & Availability","Medium","catastrophic",68.069231
80,"The system shall provide a contractual agreement with an internet service provider who can provide 99.999\% availability through their network facilities onto the internet.","Transaction Processing System","Reliability & Availability","Low","high",34.215385
81,"The product shall be based on web and has to be run from a web server.","Transaction Processing System","Performance","Negligible","moderate",13.569231
82,"The product shall take initial load time depending on internet connection strength which also depends on the media from which the product is run","Transaction Processing System","Performance","Negligible","moderate",20.392308
83,"The 0.6 shall depend upon hardware components of the client/customer.","Transaction Processing System","Performance","Very Low","moderate",22.369231
84,"The system shall use secure sockets in all transactions that include any confidential customer information.","Transaction Processing System","Security","Very Low","Low",28.376923
85,"The system shall automatically log out all customers after a period of inactivity.","Transaction Processing System","Security","Low","moderate",35.569231
86,"The system shall confirm all transactions with the customers web browser.","Transaction Processing System","Security","Low","insignificant",40.684615
87,"The system shall not leave any cookies on the customers computer containing the users password.","Transaction Processing System","Security","Medium","high",52.423077
88,"The system shall not leave any cookies on the customers computer containing any of the users confidential information.","Transaction Processing System","Security","Medium","Low",48.576923
89,"The customers web browser shall never display a customers password.  It shall always be echoed with special characters representing typed characters.","Transaction Processing System","Security","Medium","insignificant",59.115385
90,"The customers web browser shall never display a customers credit card number after retrieving from the database.  It shall always be shown with just the last 4 digits of the credit card number.","Transaction Processing System","Security","Medium","high",49.369231
91,"The systems back-end servers shall never display a customers password.  The customers password may be reset but never shown","Transaction Processing System","Security","Low","high",36.153846
